audio	sentence
/scratch/skscla001/speech/data/toigen/audio/221011-153723_toi_308_elicit_21.wav.wav	musule aceeci tuyoobonana kubusyu ambweni ulanditambula 
/scratch/skscla001/speech/data/toigen/audio/221229-144209_toi_b9a_elicit_28.wav.wav	mbuboobo izaka mbwaakatuma jakobo nkabela wakainka ku padanaramu kuli labani mwana wa betueli mu aramu mukulana wa rebeka banyina jakobo a esau 
/scratch/skscla001/speech/data/toigen/audio/221011-123458_toi_308_elicit_8.wav.wav	lino labani wakaampaampa moonse mucilao pele taakwe ncaakajana nee 
/scratch/skscla001/speech/data/toigen/audio/221213-151941_toi_b9a_elicit_0.wav.wav	miyeeyo yabaluleme niabulemu pele makanze aabasizibi ngalweeno 
/scratch/skscla001/speech/data/toigen/audio/220916-174104_toi_97d_elicit_40.wav.wav	nkaambo ulayeeya yeeya mumoyo wakwe ulaamba kuti kolya akunywa nekubaboobo moyo wakwe tuuli ayebo 
/scratch/skscla001/speech/data/toigen/audio/221230-114451_toi_b9a_elicit_10.wav.wav	nkaambo kakuti abrahamu wakaswiilila ijwi lyangu akubamba imbeta zyangu milazyo yangu indayo zyangu amulao wangu 
/scratch/skscla001/speech/data/toigen/audio/221212-150524_toi_b9a_elicit_23.wav.wav	mubwa uusiya siya alimwi kuutuba wasotooka musemu wamabala aasubila mungunga waji alimwi auutuba 
/scratch/skscla001/speech/data/toigen/audio/221228-185504_toi_b9a_elicit_11.wav.wav	cakali kwiile kubee ncaano mbuli caba mwaaba a sulwe pesi kacili masimpe a nguni unga tasyomi 
/scratch/skscla001/speech/data/toigen/audio/220903-202609_toi_707_elicit_32.wav.wav	pesi eli izyina tabalizyi bantu banji neotweelede kuzyiba neakuti mwezi oyu izyina ibbotu ndilya mukubwe kaangala 
/scratch/skscla001/speech/data/toigen/audio/221011-160540_toi_308_elicit_40.wav.wav	mpoonya awo boonse ibakali kunjila mumulyango wamunzi wakwe bakaswiilila hamori a sekemu mwanaakwe 
/scratch/skscla001/speech/data/toigen/audio/220829-210823_toi_0ae_elicit_23.wav.wav	uya kusika kucisi cabantu nkootayeeyede akuti inga uya kusika limwi 
